numero,alcaldia,nombre mercado,numero oficial,numero de locales,latitud,longitud,coord
7.0,ALVARO OBREGON,MELCHOR MUZQUIZ ZONA,43,327.0,19.343018915100000,-99.191232999899995,"19.3430189151,-99.1912329999"
241.0,TLAHUAC,CENTRAL DE TLAHUAC,41,148.0,19.268573915400001,-99.004799000000006,"19.2685739154,-99.004799"
249.0,TLAHUAC,SAN JUAN IXTAYOPAN,179,79.0,19.244009915500001,-98.995024000000001,"19.2440099155,-98.995024"
256.0,TLAHUAC,ZAPOTITLAN,192,67.0,19.294844915300001,-99.036682999999996,"19.2948449153,-99.036683"
251.0,TLAHUAC,SANTA CECILIA,248,61.0,19.278422915299998,-99.005887000000001,"19.2784229153,-99.005887"
238.0,TLAHUAC,ABRAHAM DEL LLANO (NOPALERA),252,87.0,19.296587915300002,-99.054218000000006,"19.2965879153,-99.054218"
239.0,TLAHUAC,AGRICOLA METROPOLITANA (FELIPE ASTORGA OCHOA),356,44.0,19.289802915300001,-99.052976000000001,"19.2898029153,-99.052976"
250.0,TLAHUAC,SANTA CATARINA,358,51.0,19.312904915200001,-98.966291999999996,"19.3129049152,-98.966292"
242.0,TLAHUAC,DEL MAR,359,111.0,19.287103915300001,-99.059890999999993,"19.2871039153,-99.059891"
240.0,TLAHUAC,AMPLIACION SELENE,1001,71.0,19.284873915300000,-98.995017000000004,"19.2848739153,-98.995017"
258.0,TLALPAN,COMIDAS HUIPULCO,251,23.0,19.302526915200001,-99.146460000000005,"19.3025269152,-99.14646"
266.0,TLALPAN,LAZARO CARDENAS,265,72.0,19.297739915299999,-99.138929999900000,"19.2977399153,-99.1389299999"
257.0,TLALPAN,ARTESANIAS VASCO DE QUIROGA,274,132.0,19.295283915300001,-99.184921999899998,"19.2952839153,-99.1849219999"
263.0,TLALPAN,ISIDRO FABELA,282,60.0,19.300484915199998,-99.177437999899993,"19.3004849152,-99.1774379999"
246.0,TLALPAN,MIGUEL HIDALGO,289,72.0,19.287670915300001,-99.184706999900001,"19.2876709153,-99.1847069999"
273.0,TLALPAN,TORRES DE PADIERNA,320,58.0,19.282335915299999,-99.228219444299995,"19.2823359153,-99.2282194443"
329.0,XOCHIMILCO,XOCHIMILCO ZONA (XOCHITL),44,447.0,19.262337915400000,-99.104049999899999,"19.2623379154,-99.1040499999"
327.0,XOCHIMILCO,TULYEHUALCO,146,118.0,19.254702915399999,-99.011454999999998,"19.2547029154,-99.011455"
324.0,XOCHIMILCO,SAN GREGORIO ATLAPULCO,190,136.0,19.255127915399999,-99.057456000000002,"19.2551279154,-99.057456"
328.0,XOCHIMILCO,XOCHIMILCO ANEXO,377,968.0,19.260954915399999,-99.104313000000005,"19.2609549154,-99.104313"
325.0,XOCHIMILCO,SANTA CRUZ ACALPIXCA,378,50.0,19.246075915399999,-99.075163000000003,"19.2460759154,-99.075163"
326.0,XOCHIMILCO,TIERRA NUEVA,-381,74.0,19.264012915399999,-99.116067000000001,"19.2640129154,-99.116067"
39.0,BENITO JUAREZ,LAGO,29,103.0,19.380764915000000,-99.138897999999998,"19.380764915,-99.138898"
38.0,BENITO JUAREZ,LA MODERNA,59,181.0,19.394120914999998,-99.134015000000005,"19.394120915,-99.134015"
40.0,BENITO JUAREZ,LAZARO CARDENAS(DEL VALLE),90,440.0,19.395641914900001,-99.166188999900001,"19.3956419149,-99.1661889999"
45.0,BENITO JUAREZ,POSTAL ZONA,111,247.0,19.389407915000000,-99.144283999899997,"19.389407915,-99.1442839999"
44.0,BENITO JUAREZ,POSTAL ANEXO,112,49.0,19.389152914899999,-99.143873999999997,"19.3891529149,-99.143874"
50.0,BENITO JUAREZ,TLACOQUEMECATL,122,109.0,19.377019915000002,-99.174208999900003,"19.377019915,-99.1742089999"
96.0,CUAUHTEMOC,LAGUNILLA ZONA,2,573.0,19.444027914799999,-99.134656999900002,"19.4440279148,-99.1346569999"
113.0,CUAUHTEMOC,SAN LUCAS,9,254.0,19.424943914899998,-99.131097999900007,"19.4249439149,-99.1310979999"
117.0,CUAUHTEMOC,TEPITO ZONA,14,522.0,19.446417914800001,-99.127452999900001,"19.4464179148,-99.1274529999"
81.0,CUAUHTEMOC,BEETHOVEN,17,792.0,19.459409914799998,-99.130099999899997,"19.4594099148,-99.1300999999"
102.0,CUAUHTEMOC,MORELIA,24,156.0,19.408563914900000,-99.149794999899996,"19.4085639149,-99.1497949999"
116.0,CUAUHTEMOC,TEPITO VARIOS,36,562.0,19.447123914799999,-99.127331999999996,"19.4471239148,-99.127332"
115.0,CUAUHTEMOC,TEPITO ROPA Y TELAS (granaditas),60,709.0,19.442649914800000,-99.129289999999997,"19.4426499148,-99.12929"
110.0,CUAUHTEMOC,SAN JUAN ARCOS DE BELEM,78,399.0,19.427417914799999,-99.142588000000003,"19.4274179148,-99.142588"
79.0,CUAUHTEMOC,ABELARDO L. RODRIGUEZ (CORONAS),83,151.0,19.437815914800002,-99.128291999900000,"19.4378159148,-99.1282919999"
84.0,CUAUHTEMOC,CUAUHTEMOC,98,85.0,19.429684914799999,-99.166888999899996,"19.4296849148,-99.1668889999"
