Alcaldía,Polígono ,Colonia ,Año,Mes,Ingreso por Estacionamiento en Vía Pública ,Contraprestación 30%                                (F)             ,Ingreso por Retiro de Candado Inmovilizador,70% Inmovilizador           (H),Pago al GCDMX       (F-H)
Cuauhtémoc,Roma Hipódromo,Hipódromo I,2014,Septiembre,2008854.0,602656.2,0.0,0.0,602656.2
Alvaro Obregón,Florida,Florida,2014,Septiembre,572897.0,171869.1,0.0,0.0,171869.1
Benito Juárez,Benito Juárez Sur,Crédito Constructor,2014,Septiembre,259061.0,77718.3,0.0,0.0,77718.3
Benito Juárez,Benito Juárez Sur,Recuperación de LDC por retiro de candado inmovilizador,2014,Septiembre,0.0,0.0,0.0,0.0,828.1
Miguel Hidalgo,Polanco -Anzures,Los Morales,2014,Octubre,672641.0,201792.3,0.0,0.0,201792.3
Miguel Hidalgo,Polanco -Anzures,Polanco Reforma,2014,Noviembre,1543695.0,463108.5,0.0,0.0,463108.5
Miguel Hidalgo,Polanco -Anzures,Morales Secc. Alameda,2014,Noviembre,239272.0,71781.6,0.0,0.0,71781.6
Miguel Hidalgo,Polanco -Anzures,Morales Secc. Palmas,2014,Noviembre,439161.0,131748.3,0.0,0.0,131748.3
Miguel Hidalgo,Polanco,Bosques de Chapultepec,2012,Febrero,496130.0,148839.0,0.0,0.0,148839.0
Miguel Hidalgo,Polanco,Polanco Reforma,2012,Febrero,316156.0,94846.8,0.0,0.0,94846.8
Miguel Hidalgo,Polanco,Bosques de Chapultepec,2012,Marzo,482957.0,144887.1,0.0,0.0,144887.1
Miguel Hidalgo,Polanco,Polanco Reforma,2012,Marzo,434449.0,130334.7,0.0,0.0,130334.7
Miguel Hidalgo,Polanco,Rincón del Bosque,2012,Marzo,151335.0,45400.5,0.0,0.0,45400.5
Miguel Hidalgo,Polanco,Morales Secc. Palmas,2012,Mayo,318390.0,95517.0,0.0,0.0,95517.0
Miguel Hidalgo,Polanco,Morales Secc. Alameda,2012,Junio,245716.0,73714.8,0.0,0.0,73714.8
Miguel Hidalgo,Polanco,Bosques de Chapultepec,2012,Julio,569530.0,170859.0,0.0,0.0,170859.0
Miguel Hidalgo,Polanco,Polanco Chapultepec,2012,Julio,1387857.0,416357.1,0.0,0.0,416357.1
Miguel Hidalgo,Polanco,Del Bosque,2012,Julio,48609.0,14582.7,0.0,0.0,14582.7
Miguel Hidalgo,Lomas Chapultepec,Lomas de Chapultepec,2012,Julio,85086.0,25525.8,0.0,0.0,25525.8
Miguel Hidalgo,Polanco,Los Morales,2012,Agosto,518213.0,155463.9,0.0,0.0,155463.9
Miguel Hidalgo,Polanco,Polanco Chapultepec,2012,Septiembre,1256613.0,376983.9,0.0,0.0,376983.9
Miguel Hidalgo,Polanco,Morales Secc. Palmas,2012,Septiembre,337305.0,101191.5,0.0,0.0,101191.5
Miguel Hidalgo,Polanco,Rincón del Bosque,2012,Octubre,121466.0,36439.8,0.0,0.0,36439.8
Miguel Hidalgo,Polanco,Palmitas,2012,Noviembre,259275.0,77782.5,0.0,0.0,77782.5
Miguel Hidalgo,Polanco,Rincón del Bosque,2012,Noviembre,114264.0,34279.2,0.0,0.0,34279.2
Miguel Hidalgo,Polanco,Morales Secc. Alameda,2012,Noviembre,224920.0,67476.0,0.0,0.0,67476.0
Miguel Hidalgo,Lomas Chapultepec,Lomas Virreyes,2012,Noviembre,292861.0,87858.3,0.0,0.0,87858.3
Miguel Hidalgo,Polanco,Chapultepec Morales,2012,Diciembre,1338916.0,401674.8,0.0,0.0,401674.8
Miguel Hidalgo,Polanco -Anzures,Polanco Chapultepec,2013,Febrero,1303824.0,391147.2,0.0,0.0,391147.2
Miguel Hidalgo,Polanco -Anzures,Polanco Reforma,2013,Febrero,1228084.0,368425.2,0.0,0.0,368425.2
Miguel Hidalgo,Polanco -Anzures,Polanco Reforma,2013,Marzo,1150013.0,345003.9,0.0,0.0,345003.9
Miguel Hidalgo,Polanco -Anzures,Del Bosque,2013,Marzo,60222.0,18066.6,0.0,0.0,18066.6
Miguel Hidalgo,Polanco -Anzures,Los Morales,2013,Marzo,466056.0,139816.8,0.0,0.0,139816.8
Cuauhtémoc,Roma - Hipódromo,Hipódromo I,2013,Marzo,186176.0,55853.0,0.0,0.0,55853.0
Miguel Hidalgo,Polanco -Anzures,Polanco Chapultepec,2013,Abril,1469416.0,440824.8,0.0,0.0,440824.8
Miguel Hidalgo,Polanco -Anzures,Polanco Reforma,2013,Abril,1403675.0,421102.5,0.0,0.0,421102.5
Cuauhtémoc,Roma - Hipódromo,Roma I,2013,Abril,1624649.0,487394.7,0.0,0.0,487394.7
Cuauhtémoc,Roma - Hipódromo,Hipódromo I,2013,Abril,1346238.0,403871.4,0.0,0.0,403871.4
Miguel Hidalgo,Polanco -Anzures,Polanco Chapultepec,2013,Mayo,1511579.0,453473.7,0.0,0.0,453473.7
Miguel Hidalgo,Polanco -Anzures,Polanco Reforma,2013,Mayo,1486436.0,445930.8,0.0,0.0,445930.8
