Red Manual
city: Ciudad de M&eacute;xico	
cityCode: MEX
country: M&eacute;xico		
mesurementAgency: SIMAT		
URL: http://www.aire.cdmx.gob.mx
timeStamp:,1989/01/08 al 2017/10/28		
average_interval: 001d
Date,cve_station,cve_parameter,value,unit
12/08/1989,XAL,PbPST,2.03,2
12/08/1989,MCM,PbPST,1.23,2
12/08/1989,FAN,PbPST,0.98,2
12/08/1989,TEC,PbPST,1.08,2
12/08/1989,CFE,PbPST,0.62,2
18/08/1989,CES,PbPST,1.03,2
18/08/1989,MER,PbPST,1.37,2
18/08/1989,PED,PbPST,0.75,2
18/08/1989,TLA,PbPST,1.29,2
18/08/1989,XAL,PbPST,2.99,2
18/08/1989,MCM,PbPST,1.06,2
18/08/1989,FAN,PbPST,8.87,2
18/08/1989,TEC,PbPST,1.41,2
18/08/1989,CFE,PbPST,0.72,2
30/08/1989,CES,PbPST,1.05,2
30/08/1989,MER,PbPST,1.2,2
30/08/1989,PED,PbPST,0.89,2
30/08/1989,TLA,PbPST,1.18,2
30/08/1989,XAL,PbPST,2.67,2
30/08/1989,MCM,PbPST,1.18,2
30/08/1989,FAN,PbPST,0.74,2
30/08/1989,TEC,PbPST,1.66,2
30/08/1989,CFE,PbPST,0.73,2
05/09/1989,CES,PbPST,0.84,2
05/09/1989,MER,PbPST,1.03,2
05/09/1989,PED,PbPST,0.76,2
05/09/1989,TLA,PbPST,0.79,2
05/09/1989,XAL,PbPST,1.93,2
05/09/1989,MCM,PbPST,0.67,2
05/09/1989,FAN,PbPST,0.75,2
05/09/1989,TEC,PbPST,0.71,2
05/09/1989,CFE,PbPST,0.81,2
11/09/1989,CES,PbPST,1.04,2
11/09/1989,MER,PbPST,1.2,2
11/09/1989,PED,PbPST,0.61,2
11/09/1989,TLA,PbPST,1.28,2
11/09/1989,XAL,PbPST,1.34,2
11/09/1989,MCM,PbPST,1.1,2
11/09/1989,FAN,PbPST,0.77,2
11/09/1989,TEC,PbPST,1.16,2
11/09/1989,CFE,PbPST,0.66,2
17/09/1989,CES,PbPST,0.36,2
17/09/1989,MER,PbPST,0.53,2
17/09/1989,PED,PbPST,0.33,2
17/09/1989,TLA,PbPST,0.36,2
17/09/1989,XAL,PbPST,0.38,2
17/09/1989,FAN,PbPST,0.41,2
17/09/1989,TEC,PbPST,0.27,2
17/09/1989,CFE,PbPST,0.28,2
23/09/1989,CES,PbPST,0.62,2
23/09/1989,MER,PbPST,1.3,2
23/09/1989,PED,PbPST,0.7,2
23/09/1989,TLA,PbPST,0.74,2
23/09/1989,XAL,PbPST,3.02,2
23/09/1989,MCM,PbPST,0.57,2
23/09/1989,FAN,PbPST,0.75,2
23/09/1989,TEC,PbPST,0.81,2
23/09/1989,CFE,PbPST,0.52,2
05/10/1989,CES,PbPST,0.64,2
05/10/1989,MER,PbPST,1.09,2
05/10/1989,PED,PbPST,0.57,2
05/10/1989,TLA,PbPST,1.22,2
05/10/1989,XAL,PbPST,2.14,2
05/10/1989,MCM,PbPST,1.07,2
05/10/1989,FAN,PbPST,0.6,2
05/10/1989,TEC,PbPST,1.31,2
05/10/1989,CFE,PbPST,0.81,2
11/10/1989,MER,PbPST,0.99,2
11/10/1989,PED,PbPST,0.85,2
11/10/1989,TLA,PbPST,1.12,2
11/10/1989,XAL,PbPST,2.49,2
11/10/1989,MCM,PbPST,1.17,2
11/10/1989,FAN,PbPST,1.12,2
11/10/1989,TEC,PbPST,1.2,2
11/10/1989,CFE,PbPST,0.71,2
17/10/1989,CES,PbPST,0.88,2
17/10/1989,MER,PbPST,0.94,2
17/10/1989,PED,PbPST,0.83,2
17/10/1989,TLA,PbPST,1.64,2
17/10/1989,XAL,PbPST,1.87,2
17/10/1989,MCM,PbPST,1.08,2
17/10/1989,FAN,PbPST,0.85,2
17/10/1989,TEC,PbPST,0.51,2
17/10/1989,CFE,PbPST,1.25,2
29/10/1989,MER,PbPST,1.22,2
29/10/1989,PED,PbPST,0.57,2
29/10/1989,TLA,PbPST,0.86,2
29/10/1989,XAL,PbPST,3.18,2
29/10/1989,FAN,PbPST,0.99,2
29/10/1989,TEC,PbPST,1.93,2
29/10/1989,CFE,PbPST,0.8,2
04/11/1989,CES,PbPST,0.58,2
04/11/1989,MER,PbPST,1.38,2
