NIVEL,NOMBRE,TURNO,DOMICILIO,COLONIA,ALCALDÍA,SOSTENIMIENTO,ubicacion,lat,lon,coordenadas
Primaria,COLEGIO TEYOCOYANI,MATUTINO,6TA. CERRADA DE AV. IMÁN No. 39,EL CARACOL,COYOACAN,Particular,"6TA. CERRADA DE AV. IMÁN No. 39, EL CARACOL, COYOACAN",19.3117573,-99.1692645,"19.3117573,-99.1692645"
Primaria,CÍRCULO MEXICANO DE INTEGRACIÓN EDUCATIVA,MATUTINO,PROL. YACATAS ESQUINA SANTISIMA,SANTA CRUZ ATOYAC,BENITO JUAREZ,Particular,"PROL. YACATAS ESQUINA SANTISIMA, SANTA CRUZ ATOYAC, BENITO JUAREZ",19.3668599,-99.1604115,"19.3668599,-99.1604115"
Primaria,INSTITUTO MARCELINA,MATUTINO,AV 521 NO 58,SAN JUAN DE ARAGON,GUSTAVO A. MADERO,Particular,"AV 521 NO 58, SAN JUAN DE ARAGON, GUSTAVO A. MADERO",19.4554524,-99.0929879,"19.4554524,-99.0929879"
Primaria,CENTRO ESCOLAR DE LAS AMERICAS PLANTEL OBSIDIANA,MATUTINO,OBSIDIANA NO 19,ESTRELLA,GUSTAVO A. MADERO,Particular,"OBSIDIANA NO 19, ESTRELLA, GUSTAVO A. MADERO",19.4740312,-99.1166132,"19.4740312,-99.1166132"
Primaria,CENTRO EDUCATIVO IXCHEL,MATUTINO,"SUR 25 L-69 FRACC.""B"" Y ""C"" M-7",LEYES DE REFORMA,IZTAPALAPA,Particular,"SUR 25 L-69 FRACC.""B"" Y ""C"" M-7, LEYES DE REFORMA, IZTAPALAPA",19.3636352,-99.0687706,"19.3636352,-99.0687706"
Primaria,COLEGIO UNIVERSO,MATUTINO,FUNDIDORES 131,TRABAJADORES DEL HIERRO,AZCAPOTZALCO,Particular,"FUNDIDORES 131, TRABAJADORES DEL HIERRO, AZCAPOTZALCO",19.4782931,-99.1513448,"19.4782931,-99.1513448"
Primaria,AGUSTIN ANFOSSI,MATUTINO,OCTAVIO SENTIES NO. 56,SANTIAGO ACAHUALTEPEC 2A AMPLIACION,IZTAPALAPA,Particular,"OCTAVIO SENTIES NO. 56, SANTIAGO ACAHUALTEPEC 2A AMPLIACION, IZTAPALAPA",19.3480687,-99.011127,"19.3480687,-99.011127"
Primaria,COLEGIO INLAKESH,MATUTINO,CALLE ENCINAL S/N,LOMAS DE TARANGO,ALVARO OBREGON,Particular,"CALLE ENCINAL S/N, LOMAS DE TARANGO, ALVARO OBREGON",19.3760122,-99.2362787,"19.3760122,-99.2362787"
Primaria,COLEGIO MARIANO ESCOBEDO,MATUTINO,CHIMALPOPOCA NO 3,SANTA ISABEL TOLA,GUSTAVO A. MADERO,Particular,"CHIMALPOPOCA NO 3, SANTA ISABEL TOLA, GUSTAVO A. MADERO",19.4922882,-99.1184117,"19.4922882,-99.1184117"
Primaria,MIRAVALLES,MATUTINO,DURAZNO MZ. 479 LT. 13,MIRAVALLE,IZTAPALAPA,Particular,"DURAZNO MZ. 479 LT. 13, MIRAVALLE, IZTAPALAPA",19.3662726,-99.1394719,"19.3662726,-99.1394719"
Primaria,"""INSTITUTO ANTOINE HENRI BECQUEREL""",MATUTINO,JUAN ANDREW ALMAZAN MZ.12 LT.5,SAN FRANCISCO TLALTENCO,TLAHUAC,Particular,"JUAN ANDREW ALMAZAN MZ.12 LT.5, SAN FRANCISCO TLALTENCO, TLAHUAC",19.2874355,-99.0120771,"19.2874355,-99.0120771"
Primaria,HORACIO MANN,MATUTINO,AV. FRANCISCO MORAZÁN No. 232,ZARAGOZA,VENUSTIANO CARRANZA,Particular,"AV. FRANCISCO MORAZÁN No. 232, ZARAGOZA, VENUSTIANO CARRANZA",19.4119273,-99.0886669,"19.4119273,-99.0886669"
Primaria,ROGER COUSINET,MATUTINO,DR. VERTIZ NUM. 695,NARVARTE,BENITO JUAREZ,Particular,"DR. VERTIZ NUM. 695, NARVARTE, BENITO JUAREZ",19.3959494,-99.1511997,"19.3959494,-99.1511997"
Primaria,ATOCPAN,MATUTINO,ATZAYACATL NUM 99,SAN PEDRO ATOCPAN,MILPA ALTA,Particular,"ATZAYACATL NUM 99, SAN PEDRO ATOCPAN, MILPA ALTA",19.2044701,-99.0509423,"19.2044701,-99.0509423"
Primaria,DONATO BRAMANTE,MATUTINO,CALLE 25 NO 330,PRO  HOGAR,AZCAPOTZALCO,Particular,"CALLE 25 NO 330, PRO  HOGAR, AZCAPOTZALCO",19.4779021,-99.1578182,"19.4779021,-99.1578182"
Primaria,RAFAEL ALBERTI,MATUTINO,CEDROS 144,SAN ANDRES,AZCAPOTZALCO,Particular,"CEDROS 144, SAN ANDRES, AZCAPOTZALCO",19.491693,-99.178378,"19.491693,-99.178378"
